dataID	context	indices_target_token	indices_target_sentence	lemma	group
190	BIG BANG CONCERT IS TOMORROW. OH MY LORD !! BOO HOO HOOOO )\u2019: *Cries all the 7 seas*	0:0	0:0		
191	" religious liberty is defined as religion that Bobby Jindal & Huckabee approve of. Read the constitution!"	0:0	0:0		
192	I don\u2019t doubt the 2nd coming will be in Jerusalem AND Missouri\u002c but when is it due?	0:0	0:0		
193	tomorrow I am going to see Sam Smith live and it still is not real to me	0:0	0:0		
194	rehearsing for Nov 6 \@MlTTR0MNEY: just called Jim Leyland to congratulate New York Giants on their victorious baseball match #SFGChamps #p2	0:0	0:0		
195	Bryan sophomore Mykenzi Greenler gets by a Redskins defender Wednesday in Port Clinton. The Golden Bears, the No....	0:0	0:0		
196	Josh Hamilton hits an RBI Double to give the Rangers a 4-2 lead in the 4th!! #Game106	0:0	0:0		
197	Happy 18th Birthday to my boy Kyle!!  Very proud of him!  I would definitely rate him in the top 4 of all my kids!  @user	0:0	0:0		
198	Best day and weekend trips from Seoul, by season: by Elizabeth EunThere's just so much to see in Seoul, it may t...	0:0	0:0		
199	Amazon Prime day is like going on the 3rd date with a gal, and when you finally get her panties off she got a dick!	0:0	0:0		
200	Nolan Arenado, Kris Bryant, Manny Machado and Miguel Sano are gonna won the 3rd base spot for the next 5-10 seasons	0:0	0:0		
201	December 5th could be the biggest UFC Card put together. Aldo &amp; McGregor, and Rousey as a co main event with her possibly fighting Cyborg.	0:0	0:0		
202	Where's the sun mommy? It's asleep like you should be But Harper's a moon mommy  Dammit kid.	0:0	0:0		
203	@user Im sure it will replay on NFL network tomorrow too.	0:0	0:0		
204	iPhone 6s Launch: More Details Leak Ahead of Apple's September 9 Event: iPhone 6s launch on Wednesday is just ...	0:0	0:0		
205	@user yep AC/DC tonight at Ford Field then on a plane Thursday to San Diego...	0:0	0:0		
206	What an Amazing Halloween Weekend! A lot of Great costumes! Can\u2019t wait for the big night This Wednesday! Underworld at Cinema!	0:0	0:0		
207	he's 2nd for me behind Danny Elfman who does all of the Tim Burton movies. i love the whimsical music	0:0	0:0		
208	@user Im gr8 jdog!Wouldnt say missing the gills,missing football! The eagles didnt have a good start eh?  Have you done sun dream team?	0:0	0:0		
209	Naruto is the 10th Nakama and would be the last Strawhat Crew. Just my opinion. Sorry.	0:0	0:0		
210	Support CEO Keith Bradshaw as he spends a night sleeping at Adelaide Oval on THURSDAY raising money for the homeless	0:0	0:0		
211	@user @user yes, download avaiable 30 aug, but after can't play. waiting 1 sep . you read this in PS4  after finish download. good luck	0:0	0:0		
212	Social Media Week is right now! Can you tell I\u2019m excited? #SMWVAN I\u2019ll be at the @user event tomorrow\u002c see you there!	0:0	0:0		
213	Rahul Gandhi the kid is planning jail bharo with all his supporters on 19 Dec. Great. The judge will have less trouble arriving at verdict.	0:0	0:0		
214	Babe get your free trial I want to see Beyonce live and Flatbush! @user	0:0	0:0		
215	@user I'm literally struggling as we speak--I'm traveling in March and I listen to soooo much KPop that it's past time!	0:0	0:0		
216	Did I just see what I think I did on @user Real Madrid signed a 7th old? #wow	0:0	0:0		
217	Honestly, lack of 3rd party support should have been expected. its not the company's fault for not siding with Nintendo	0:0	0:0		
218	Great sets as well by @user and @user We do it all again Sunday at Rock Im Park. @user @user	0:0	0:0		
219	I started #TheAmericans on Friday courtesy my vacationing cat-owning neighbors with Amazon Prime. Oops. Uh, I'm not paying Amazon myself.	0:0	0:0		
220	Next sunday I'm going to CiTY Nightclub just to hear @user play.	0:0	0:0		
221	@user May you please show How To Rock from episode 1 and so on.....i cant blieve theres no more how to rock	0:0	0:0		
223	The Kee to Bala just got Drizzy: Intimate concert in one of greatest venues with rapper @user this Saturday pm in #Muskoka's @user	0:0	0:0		
224	@user May favorite one EVER on iOS is Harbaugh, it autocorrects to Garbage	0:0	0:0		
225	Kevin said the race was like almost like a Sunday drive and he still beat Alonso and the Red Bulls lol	0:0	0:0		
226	Now I kinda regret not going to Bolder on Friday.  #fuckme	0:0	0:0		
227	Nymburk shouldn't start any more games without floor spacers on the wing position. Need Simmons out there. Raivio 6th man, just fine..	0:0	0:0		
228	White: UFC not going to Dallas in December, Rousey's next fight in Vegas via @user	0:0	0:0		
229	@user just sent you a request off the app. I'll get my PS4 on the 15th	0:0	0:0		
230	when I go to digi and get a pic with myles and jack G together both kidding my cheek, I may faint ... because that's my goal	0:0	0:0		
231	Anybody not taking the PSAT want to go to Original House of Pancakes tomorrow morning?	0:0	0:0		
232	Congratulations to 4th ranked WBO featherweight Orlando Cruz!  1st active boxer to come out of the closet. #courage	0:0	0:0		
233	Lol @ when Frank Ocean decides to lowkey drop his album on Spotify and say it was released June 30th  Shits fire tho	0:0	0:0		
234	MTV just played a music video. Heart Shaped Box by Nirvana. On a Saturday morning. That just happened!	0:0	0:0		
235	@user 25 March 1972: An IRA volunteer was killed when two IRA units engaged each other in error on the Springfield Road in Belfast.??	0:0	0:0		
236	Monday night RAW opens up with Paul Heyman and Brock Lesnar in the ring and Paul calling for a rematch.  Live...	0:0	0:0		
237	ENDS TOMORROW! Want to win $100 Visa + 5 copies of Paper Towns ? I just entered to win and you can too.	0:0	0:0		
238	LEAVING ON SUNDAY... But I still have a Jason Aldean ticket for $30!!! Let me know if ya want it	0:0	0:0		
239	This may be a fact!! RT @user Curtis painter will help the colts win their first game! U heard it here first!!!	0:0	0:0		
240	@user hahahahha fair play see u tomorrow we can tell the time and listen to bob marley together???	0:0	0:0		
241	@user fell asleep during Magic Mike XXL.....guess we are just gonna have to rewatch it tomorrow.....daaaarn	0:0	0:0		
242	@user most if not all of the sept 11th terrorists were from saudi arabia. they are part of the problem.	0:0	0:0		
243	"#RT The 3rd book in The Viking's Apprentice series has been released. Amazon users get it here #amreading"	0:0	0:0		
244	@user we just confirmed Nipsey Hussle Dec. 29th @user Hall tix on sale Friday!	0:0	0:0		
245	Iron Maiden tours video game history in 1st new single in five years. The graphics and feel of the games is so good	0:0	0:0		
246	Jets over spent on Decker and sat back like he was Aaron Rodgers	0:0	0:0		
247	Caitlyn Jenner's a new member of the T community -she is working for true self acceptance let's welcome her!	0:0	0:0		
248	Saturday movie reviews: Ant-man is fun & 'light while Woman' in Gold is tugs at the heart	0:0	0:0		
249	just sat in on Bruno Mars interviews	0:0	0:0		
250	I am gonna Meryl Streep the fuck out of this tomorrow	0:0	0:0		
251	@user the Charlie Hebdo killers were French, so there's a high possibility these are French too. May as well just shoot everyone...	0:0	0:0		
252	@user my host moms company had a gala on Monday and all of the Jonas brothers were there ;)	0:0	0:0		
253	If justin and shawn takes a picture tomorrow I will actually have it as my background picture till I die	0:0	0:0		
254	Vikings make sure you wear red tomorrow to show your Viking pride also at the game as well	0:0	0:0		
255	Just caught the end of TFI Friday. Chris Evans is like the Harold Zidler of Wetherspoons.	0:0	0:0		
256	Sorry for no video on Minecraft yesterday. It literally JUST UPLOADED! That video will be up on monday and i think you will enjoy it! :)	0:0	0:0		
257	I really just found out that Kim Kardashian and Kanye had their 2nd baby like 10 days ago. Where the hell have I been? LMAO	0:0	0:0		
258	@user just saw it advertising in the telly that The Big Bang Theory starts on the 23rd of October! #yas #TBBT #newseries	0:0	0:0		
259	@user tbh this game is bunk...I just wanna watch Monday's game with Messi	0:0	0:0		
260	High point. Ice Cube's son was the mvp of this movie. Whoever played Eazy should get 6th man of the year. Whoever casted Snoop shoot them.	0:0	0:0		
261	Don't forget to support your 2nd fav team tonight boys & girls :))) haha   Newcastle Utd v Bordeaux   ESPN 8pm #toon	0:0	0:0		
262	@user he promised to take me to Milan on Saturday but he didn't step up, hence why he's a fuckboy	0:0	0:0		
263	This Wednesday, beat the cold front @user with a celebration of George Harrison + The Beatles with Here Comes The Sun! Doors 7:30.	0:0	0:0		
264	@user @user @user @user :If she's like Michelle Obama that may not be true?	0:0	0:0		
265	Randy Orton may be leaving WWE if he doesn't get a part-time deal with them! #WWE	0:0	0:0		
266	the fact that we are going to be Sophia grace and rosie at the studio on tuesday makes me soo happy! @user #accents #cuties	0:0	0:0		
267	Little blurry but this is the crowd I play for every Thursday at Plan B with Madison\u2019s hottest DJ\u002c Brook Bartels	0:0	0:0		
268	Friday the 13th The Series is on Amazon Prime. See you all Monday	0:0	0:0		
269	I can't wait for Donald Trump to get elected president and then end the oath of office with 'live from New York', it's Saturday Night!	0:0	0:0		
270	Ben Lederman may well end up being the first American to play for Barca but, for the time being, it sounds like he's heading to Florida.	0:0	0:0		
271	No more Denean, Camp Airy tomorrow to see my friends, Dashboard on Sunday with @user and lunch Saturday with @user Yessss.	0:0	0:0		
272	I'm going to orientation naked tomorrow	0:0	0:0		
273	http://t.co/JJVDi4lW Wednesday's Featured Property of the Day is Knollwood Place Apartments, in...	0:0	0:0		
274	"#80s #Move Alert: Start your Friday with a Bang... no a Boom, Baby Boom is on @user family in 5min."	0:0	0:0		
275	Planned Parenthood admits it manipulates rules on fetal organ sales to maximize profit - Washington Times	0:0	0:0		
276	@user And it's like 1/10th as insane as it was in Dark Souls. I was like ''oh, is that all?'' lol	0:0	0:0		
277	1st time to watch PBA. Best Seat on the House!! Thanx sahia! =) @ SMART Araneta Coliseum	0:0	0:0		
278	Van Halen and LL Cool J talk about Michael Jackson (LMJ May 3rd 2013) via @user	0:0	0:0		
279	MTA agent to me: \''This card has been damanged since yesterday morning.\'' Me: \''But I used it last night.\'' MTA: \''No you didn't.\	0:0	0:0		
280	Thank you @user @user May God bless and keep our friends and allies in Israel.	0:0	0:0		
281	Followed by Friday up to Redcar to watch Sumer Stroll who if it stays dry will have a belting chance to notch another win. Ventura a danger	0:0	0:0		
282	Going to be heading out tomorrow to check out the Earth Festival in Davis #ImNotAHippie	0:0	0:0		
283	Danee better still match with me tomorrow .	0:0	0:0		
284	I still think they should have let Nicki continue what she was going to say rather then cut her off cuz it may hurt Miley's feelings	0:0	0:0		
285	@user I smirked, I promise not to tease you about it tomorrow lol. Same, lots of Bad Blood though.	0:0	0:0		
286	School is over and it's Friday I love life	0:0	0:0		
287	@user I keep 2 cells. 2nd one is the lovely Katbonn K9. Available for under 1.5k. Value for money. Feels like old Nokia. Solid battery.	0:0	0:0		
288	I went crazy when @user went on that run &amp; @user scored &amp; I was sat in the Milan end! #WhatANight	0:0	0:0		
289	Enjoy the 3rd day of Eid with great relish:)	0:0	0:0		
290	September 8: [More] Justin spotted out and about in New York...	0:0	0:0		
291	Downloading Duels for iPad now.  Finally magic on the perfect device.  I may never play MTGO again. #dotp2013	0:0	0:0		
292	@user may I have an industrial revolution code for my pre-order of Bioshock Infinite? I got one from the store but cant redeem.	0:0	0:0		
293	@user would absolutely Now you are coming on MAY 14th. I love you #MTVStars The Vamps	0:0	0:0		
294	Cowboys game this sunday and I dont even like the cowboys lol	0:0	0:0		
295	Hillary whacker @user rehashes the same article he wrote 6 weeks ago. NOT ONE new fact in Sept 7 piece.	0:0	0:0		
296	I saw this during the 1st season of Game of Thrones, so it's not technically their 1st kiss #bb17	0:0	0:0		
297	@user Bummed We don't get to see Arrow until Saturday because of the Chicago Bulls game.	0:0	0:0		
298	ALSO GOOD NEWS  i'm going to go see Ant-Man tomorrow /twerktwerk	0:0	0:0		
299	May or may not be getting ready to watch the very first season EVER of Big Brother. @user I'm so ready to see what Julie looks like!	0:0	0:0		
300	why is Chris Bosh so fuckin\u2019 ugly -__- the world may never know.	0:0	0:0		
301	My heart hurts I really need to shawn when he goes on my bday to Texas in October I hope I find tickets some how:(	0:0	0:0		
302	RT @user Sanchez didn't know Plax would sneak in for a play yesterday. \I wish I would have hit him,\ he said. Got pressured by D #nyj	0:0	0:0		
303	n VOW is likely to return from a midsummer break in the Prix de Royallieu at Longchamp on Saturday.: Trainer Wil...	0:0	0:0		
304	I saw Paper Towns on Friday with some friends and it was AMAZING! It might have been different from the book but I absolutely loved it!! :D	0:0	0:0		
305	@user June:) Isn't that the one with the outfits from Styled To Rock?	0:0	0:0		
306	srsly tho, there has never ever been a pic in Kpop that made same impact on me - 1st time seeing it - as this cover	0:0	0:0		
307	Thursday is National Hot Dog Day! JE will be serving hot dogs to our staff &amp; raising $ for United Way of Manatee! How are you celebrating?	0:0	0:0		
308	So here I am, 00:30 in the morning sat looking for updates on the situation on Twitter and Madonna, material world comes on. Brilliant	0:0	0:0		
309	Kris Bryant with his 15th HR of this season!!! #Cubs lead 3-2.	0:0	0:0		
311	The mantra from Republicans to Democrats today is, 'if you don't like our plan, then where is your plan\ The mantra from Republicans t...	0:0	0:0		
312	Live:Supreme Court approved the death warrant,Yakub will be hanged tomorrow at 7 am in Nagpur Jail@PranabMukherjee@PMNarendraModi	0:0	0:0		
313	@user @user another center? Gagner is a good cheap 2nd line option that we can afford and keep the kids.	0:0	0:0		
314	explosive resistant passports!!! Charlie Hebdo shootings left ID card in the car. 9/11 plane hijacker's passports found. Paris c'mon.	0:0	0:0		
315	If you think Nicki's ass is more than 1/8th real you are fuuucked	0:0	0:0		
316	Rick Perry a certified moron  - he's the real cancer to use his words - not Trump  via @user	0:0	0:0		
317	@user obama's goal is to lead us into 3rd world status, so you're absolutely right, \obama doesn't care\	0:0	0:0		
318	Biggest game of the match. Even bigger than the 3rd set tie-break. Murray simply had to hold. Please Andy.	0:0	0:0		
319	@user is it just me or does \Danny\ seem a lot like Billy Crystal in the first 1/3rd of When Harry Met Sally?	0:0	0:0		
320	Yeah well done dickhead so the IRA and KKK are Muslim #narrowmindedprick	0:0	0:0		
321	in other news I'm going to Disneyland tomorrow	0:0	0:0		
322	Why would you not want to spend all Sunday at a Youth Soccer turnament? Mequon cup Baby. (4100 W Highland Road 128N)	0:0	0:0		
323	Dear Naked Cyclists, I will not support your campaign if you are putting your sweaty bits on Boris Bikes!	0:0	0:0		
324	We have just won our 1st match in the MYSA international girls tournament! Go girls go	0:0	0:0		
325	@user I know you're gonna rock the fan's tomorrow... why because you're Katy Perry #nocommet	0:0	0:0		
